t,Open,High,Low,Close,Volume,VolumeWeighted
2020-12-31 19:22:00,711.255,711.75,711.255,711.75,1656,711.413846
2020-12-31 19:23:00,711.685,712.32,711.685,712.32,970,712.038333
2020-12-31 19:24:00,712.24,713.18,712.24,712.99,871,712.90625
2020-12-31 19:25:00,713.03,713.03,712.9,712.945,426,712.958333
2020-12-31 19:26:00,712.47,712.47,712.34,712.43,806,712.406667
2020-12-31 19:27:00,711.87,711.88,711.87,711.88,206,711.875
2020-12-31 19:28:00,711.85,711.85,709.63,710.32,2310,710.546667
2020-12-31 19:29:00,710.03,710.03,707.575,708.44,2734,708.19881
2020-12-31 19:30:00,708.64,709.735,708.36,709.735,900,709.205714
2020-12-31 19:31:00,710.43,710.43,710.14,710.235,825,710.2925
2020-12-31 19:32:00,710.36,710.5,709.51,710.47,801,710.135
2020-12-31 19:33:00,710.75,710.75,710.22,710.22,1127,710.5225
2020-12-31 19:34:00,709.275,709.98,709.13,709.98,962,709.425714
2020-12-31 19:35:00,710.39,710.39,709.66,709.89,1185,709.872222
2020-12-31 19:36:00,709.945,709.945,706.025,707.1,4473,707.315
2020-12-31 19:37:00,707.6,707.7,706.745,706.93,2117,706.978611
2020-12-31 19:38:00,706.38,706.38,705.37,705.76,3472,706.031875
2020-12-31 19:39:00,705.51,707.2,705.51,706.83,2288,706.526
2020-12-31 19:40:00,706.9,706.93,705.69,706.87,1678,706.459333
2020-12-31 19:41:00,706.99,708.2,706.99,707.81,1801,707.813
2020-12-31 19:42:00,707.96,708.32,707.74,708.32,1360,707.991364
2020-12-31 19:43:00,708.495,708.495,706.87,706.99,1371,707.676364
2020-12-31 19:44:00,706.94,707.06,706.94,707.06,300,707.02
2020-12-31 19:45:00,706.975,707.58,706.95,707.27,825,707.255
2020-12-31 19:46:00,707.76,707.895,707.355,707.355,1300,707.650417
2020-12-31 19:47:00,707.36,707.36,705.89,707.05,1598,706.6925
2020-12-31 19:48:00,707.18,707.59,707.155,707.155,911,707.369286
2020-12-31 19:49:00,706.97,707.35,706.97,707.1,1756,707.159667
2020-12-31 19:50:00,706.91,706.91,706.42,706.42,677,706.704
2020-12-31 19:51:00,706.31,706.31,704.01,704.01,1683,705.304545
2020-12-31 19:52:00,704.205,704.96,704.205,704.96,387,704.568333
2020-12-31 19:53:00,704.58,705.14,704.55,705.14,455,704.756667
2020-12-31 19:54:00,705.15,705.31,705.02,705.06,1239,705.131111
2020-12-31 19:55:00,704.71,704.71,703.5,704.36,2005,704.015938
2020-12-31 19:56:00,704.62,704.63,702.66,703.47,8528,703.327217
2020-12-31 19:57:00,703.61,703.61,702.54,702.875,2069,702.992308
2020-12-31 19:58:00,702.97,703.61,702.7,702.7,2756,703.275217
2020-12-31 19:59:00,702.91,703.59,702.27,702.3,2435,702.944773
2020-12-31 20:00:00,702.24,702.61,701.88,702.465,2998,702.250769
2020-12-31 20:01:00,702.56,702.56,701.39,701.51,2636,701.93075
2020-12-31 20:02:00,701.26,703.0,701.16,702.09,2724,701.843095
2020-12-31 20:03:00,701.95,702.13,701.24,701.29,1908,701.743529
2020-12-31 20:04:00,701.21,701.61,701.17,701.61,605,701.33
2020-12-31 20:05:00,701.92,702.26,701.51,701.955,1867,701.98875
2020-12-31 20:06:00,701.81,702.78,701.81,702.41,1505,702.470909
2020-12-31 20:07:00,702.52,702.66,701.74,702.66,1819,702.22
2020-12-31 20:08:00,702.61,703.21,702.61,703.21,1701,702.9825
2020-12-31 20:09:00,703.27,703.41,702.88,703.12,1758,703.182308
2020-12-31 20:10:00,704.01,704.03,704.01,704.02,534,704.02
2020-12-31 20:11:00,704.05,704.13,703.525,704.13,1436,703.824091
2020-12-31 20:12:00,703.96,704.54,703.95,704.08,3065,704.155165
2020-12-31 20:13:00,704.71,705.22,704.7,705.22,1656,704.958462
2020-12-31 20:14:00,705.14,705.14,703.49,703.68,2782,704.005217
2020-12-31 20:15:00,703.67,703.86,703.32,703.68,1682,703.577143
2020-12-31 20:16:00,703.64,703.67,702.2,702.2,2365,702.895
2020-12-31 20:17:00,702.09,702.49,701.9,701.9,2130,702.148421
2020-12-31 20:18:00,701.795,701.795,700.11,700.82,2580,700.801579
2020-12-31 20:19:00,700.03,701.455,699.29,701.18,2655,700.214048
2020-12-31 20:20:00,701.5,701.5,700.66,700.87,888,700.931667
2020-12-31 20:21:00,701.18,701.46,700.865,700.98,1403,701.020769
2020-12-31 20:22:00,700.62,701.72,700.62,701.64,1592,701.423333
2020-12-31 20:23:00,701.47,701.47,700.55,700.55,1582,700.965455
2020-12-31 20:24:00,700.9,701.0,700.42,700.54,2120,700.739688
2020-12-31 20:25:00,700.46,701.34,700.43,700.85,835,700.77
2020-12-31 20:26:00,700.73,700.81,700.63,700.63,1307,700.739231
2020-12-31 20:27:00,699.41,699.62,698.63,699.15,3780,699.13512
2020-12-31 20:28:00,699.29,699.83,698.21,698.525,5234,698.790682
2020-12-31 20:29:00,698.26,698.96,698.0,698.0,4972,698.66154
2020-12-31 20:30:00,698.05,699.57,697.78,699.505,2794,698.823261
2020-12-31 20:31:00,699.915,701.0,699.915,700.67,2880,700.64875
2020-12-31 20:32:00,700.84,701.0,700.82,700.89,913,700.91
2020-12-31 20:33:00,701.39,701.39,700.45,700.905,2839,700.8704
2020-12-31 20:34:00,701.21,701.93,701.21,701.63,1501,701.539925
2020-12-31 20:35:00,701.94,701.94,701.22,701.68,1230,701.508889
2020-12-31 20:36:00,701.65,702.2,701.65,701.78,1684,701.952
2020-12-31 20:37:00,701.895,701.895,700.96,701.26,1257,701.211818
2020-12-31 20:38:00,701.295,701.295,699.885,700.43,3469,700.332656
2020-12-31 20:39:00,700.545,700.66,700.465,700.465,620,700.569167
2020-12-31 20:40:00,700.34,700.34,700.34,700.34,106,700.34
2020-12-31 20:41:00,700.01,700.55,699.96,700.55,856,700.225
2020-12-31 20:42:00,701.64,703.32,701.64,703.32,2175,702.419688
2020-12-31 20:43:00,703.49,703.49,702.945,702.945,1408,703.077778
2020-12-31 20:44:00,703.3,704.94,703.3,704.13,2768,704.495
2020-12-31 20:45:00,704.395,705.97,704.38,705.51,4193,705.357571
2020-12-31 20:46:00,704.75,704.88,703.63,703.77,2807,704.316442
2020-12-31 20:47:00,703.625,704.475,703.02,703.92,6225,703.497031
2020-12-31 20:48:00,703.865,704.06,703.69,703.7,2040,703.879167
2020-12-31 20:49:00,703.855,703.99,703.685,703.99,1368,703.792234
2020-12-31 20:50:00,704.755,704.775,703.49,703.56,1346,704.095
2020-12-31 20:51:00,703.5,704.2,703.5,704.13,2759,703.873108
2020-12-31 20:52:00,704.275,704.88,704.275,704.88,1478,704.539545
2020-12-31 20:53:00,704.85,705.58,704.7,705.525,1453,705.321923
2020-12-31 20:54:00,705.66,706.12,705.48,706.12,2005,705.791176
2020-12-31 20:55:00,706.44,706.51,705.1,705.1,4552,706.014189
2020-12-31 20:56:00,705.285,705.73,705.23,705.68,2908,705.570437
